HAN TU,Audio,HAN VIET,Note
圧,,ÁP,
移,,DI,
異,,DỊ ,
遺,,DI ,
域,,VỰC,
宇,,VŨ,
永,,VĨNH,
衛,,VỆ,
営,,DOANH,
映,,ÁNH,
益,,ÍCH,
易,,DỊCH,
液,,DỊCH,
演,,DIỄN,
沿,,DUYÊN,
延,,DUYÊN,
桜,,ANH,
応,,ỨNG,
往,,VÃNG,
恩,,ÂN,
価,,GIÁ,
過,,QUÁ,
可,,KHẢ,
河,,HÀ,
仮,,GIẢ,
解,,GIẢI,
快,,KHOÁI,
灰,,HÔI,
届,,GIỚI,
賀,,HẠ,
我,,NGÃ,
閣,,CÁC,
革,,CÁCH,
拡,,KHUẾCH,
額,,NGẠCH,
簡,,GIẢN,
干,,CAN,
看,,KHÁN,
慣,,QUÁN,
幹,,CÁN,
刊,,SAN,
巻,,QUYỂN,
眼,,NHÃN,
危,,NGUY,
揮,,HUY,
机,,KỶ,
貴,,QUÝ,
規,,QUY,
基,,CƠ,
寄,,KÍ,
技,,KỸ,
義,,NGHĨA,
疑,,NGHI,
逆,,NGHỊCH,
旧,,CỰU,
久,,CỬU,
吸,,HẤP,
許,,HỨA,
居,,CƯ,
境,,CẢNH,
郷,,HƯƠNG,
胸,,HUNG,
供,,CUNG,
筋,,CÂN,
勤,,CẦN,
禁,,CẤM,
句,,CÚ,
群,,QUẦN,
経,,KINH,
系,,HỆ,
警,,CẢNH,
敬,,KÍNH,
劇,,KỊCH,
激,,KÍCH,
穴,,HUYỆT,
潔,,KHIẾT,
険,,HIỂM,
検,,KIỂM,
券,,KHOÁN,
件,,KIỆN,
絹,,QUYÊN,
憲,,HIẾN,
権,,QUYỀN,
現,,HIỆN,
厳,,NGHIÊM,
源,,NGUYÊN,
限,,HẠN,
減,,GIẢM,
個,,CÁ,
己,,KỈ,
呼,,HÔ,
故,,CỐ,
効,,HIỆU,
講,,GIẢNG,
構,,CẤU,
鉱,,KHOÁNG,
耕,,CANH,
厚,,HẬU,
興,,HƯNG,
孝,,HIẾU,
皇,,HOÀNG,
后,,HẬU,
紅,,HỒNG,
鋼,,CƯƠNG,
降,,GIÁNG,
骨,,CỐT,
穀,,CỐC,
刻,,KHẮC,
困,,KHỐN,
混,,HỖN,
砂,,SA,
査,,TRA,
座,,TOẠ,
災,,TAI,
採,,THÁI,
妻,,THÊ,
際,,TẾ,
再,,TÁI,
裁,,TÀI,
済,,TẾ,
在,,TẠI,
罪,,TỘI,
財,,TÀI,
策,,SÁCH,
冊,,SÁCH,
雑,,TẠP,
賛,,TÁN,
蚕,,TÀM,
酸,,TOAN,
誌,,CHÍ,
視,,THỊ,
私,,TƯ,
詞,,TỪ,
至,,CHÍ,
支,,CHI,
資,,TƯ ,
師,,SƯ,
志,,CHÍ,
飼,,TỰ,
枝,,CHI,
示,,THỊ,
似,,TỰ,
磁,,TỪ,
識,,THỨC,
質,,CHẤT,
謝,,TẠ,
舎,,XÁ,
捨,,XẢ,
射,,XẠ,
尺,,XÍCH,
若,,NHƯỢC,
授,,THỤ,
樹,,THỤ,
従,,TÒNG,
縦,,TUNG,
宗,,TÔNG,
収,,THU,
衆,,CHÚNG,
就,,TỰU,
修,,TU,
縮,,SÚC,
熟,,THỤC,
述,,THUẬT,
術,,THUẬT,
準,,CHUẨN,
純,,THUẦN,
署,,THỰ,
処,,XỬ,
諸,,CHƯ,
除,,TRỪ,
傷,,THƯƠNG,
障,,CHƯỚNG,
将,,TƯƠNG ,
証,,CHỨNG,
承,,THỪA,
招,,CHIÊU,
序,,TỰ ,
城,,THÀNH,
蒸,,CHƯNG,
常,,THƯỜNG,
状,,TRẠNG,
条,,ĐIỀU,
情,,TÌNH,
職,,CHỨC,
織,,CHỨC,
針,,CHÂM,
仁,,NHÂN,
推,,SUY,
垂,,THUỲ,
寸,,THỐN,
誠,,THÀNH,
聖,,THÁNH,
盛,,THỊNH,
製,,CHẾ,
精,,TINH,
性,,TÍNH,
政,,CHÍNH,
制,,CHẾ,
勢,,THẾ,
税,,THUẾ,
責,,TRÁCH,
績,,TÍCH,
設,,THIẾT,
接,, TIẾP,
絶,, TUYỆT,
舌,,THIỆT,
銭,,TIỀN,
