HAN TU,Audio,HAN VIET,Note
悪,,ÁC,悪人、悪い
屋,,ỐC,部屋、屋上（おくじょう）
億,,ỨC,"億兆（ mọi người, nhân dân)、一億（một trăm triệu)"
安,,AN,安い、安値(AN TRỊ - giá rẻ  - やすね)、安全、安心、不安
暗,,ÁM,暗号（ ám hiệu)
案,,ÁN,案件（ÁN KIỆN - phương án)
意,,Ý ,意見、ご注意ください
委,,UỶ,委員、委任（UỶ NHÂM - sự uỷ nhiệm)
医,,Y,医者、歯医者
以,,DĨ,以上です
位,,VỊ,上位、下位、中位
胃,,VỊ,"Bao tử, dạ dày, 胃弱(VỊ NHƯỢC - bội thực)、胃炎(VỊ VIÊM - viêm loét dạ dày)"
囲,,VI,胸囲 (HUNG VI - Vòng ngực -  キョウイ）
衣,,Y,ころも（trang phục)
塩,,DIÊM,塩味(DIÊM VỊ - gia vị - しおあじ）
院,,VIỆN,生麦病院
員,,VIÊN,社員、委員
飲,,ẨM,飲み物、飲み補題
横,,HOÀNH,"横浜、鮮黄(CHUYÊN HOÀNH - センオウ - Chuyên quyền, độc tài)、横ーヨコ bề ngang"
央,,ƯƠNG,中央：新宿は東京の中央ですね！！　中央委員会（TRUNG ƯƠNG UỶ VIÊN HỘI)
愛,,ÁI,友愛（HỮU ÁI)、信愛（Sự quen thân)
温,,ÔN,温度、低音(ĐÊ ÔN - Nhiệt độ thấp - テイオン）、温室(ÔN THẤT - Nhà kính)
運,,VẬN,運動
育,,DỤC,
駅,,DỊCH,"駅員、駅前、初駅、駅弁(DỊCH BIỆN - Cơm hộp bán tại nhà ga, 弁 - 関西弁）"
泳,,VỊNH,泳法 (VỊNH PHÁP - エイ法）泳者、泳ぎ（およぎ）
栄,,VINH,神（カミ）のよりたいなる栄光のために - Để Thiên Chú được vinh hiển hơn  - dịch thô(St. Ignatius)
英,,ANH,英語
印,,ẤN,Print
荷,,HÀ,荷物
貨,,HOÁ,貨物（Hàng hoá)、滞貨 (TRỆ HOÁ - タイカ - Hàng ế）
課,,KHOÁ,課外、日課
加,,GIA,参加
果,,QUẢ,果物（クダモノ）、結果、課目
化,,HOÁ,同化
